gene_id,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000159398,0,0.324277148,0.075422789,0.44824178,0,0,0,0,0,0,0,0.49200822
ENSG00000159399,65.44217435,70.65669642,66.89219051,38.64023029,36.67557736,32.49064047,130.3604744,139.568041,126.6403618,44.22740374,57.63460262,36.42840541
ENSG00000159403,0.307581183,1.344076529,0.791958781,1.238593305,0.470246934,0,0.657027314,0.414922776,0.404697957,2.054071467,0.249903813,0.271905973
ENSG00000159409,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159423,74.20675514,72.01242802,75.05499912,13.85267033,15.02666827,11.62424739,11.89728368,14.25320285,11.96215625,22.97313796,17.1691213,19.9840409
ENSG00000159433,0.300689624,0.375417602,0.325985019,1.660583045,1.116440371,0.931387041,3.30328894,3.534742231,4.351934751,0.645444206,0.558410407,1.367042091
ENSG00000159445,3.473556825,3.522990502,4.079582454,2.486685408,0.590062626,1.267937225,2.381696387,2.950306099,3.723956275,1.288717391,1.254310359,2.274571659
ENSG00000159450,3.784978104,4.906157947,4.564442709,1.027527798,2.145623484,0,0.181688325,1.89319268,1.175070458,4.047100746,4.353685256,2.706854085
ENSG00000159455,13.69984128,24.80160163,12.33274246,23.64327943,17.9529142,14.46657982,2.090312226,13.86067278,9.656505937,24.50611991,23.85183926,23.35663362
ENSG00000159459,13.24407357,13.43417217,14.20392382,25.33888932,30.09753263,25.16089112,25.34650957,24.61637616,22.59046578,24.46267635,20.88813771,23.52183857
ENSG00000159461,48.40214523,46.58609663,48.66987441,80.54053405,84.96570877,82.3879876,101.6286961,119.6589425,114.0623466,71.33257537,70.93739725,76.08811103
ENSG00000159479,94.94349006,104.3225908,92.94165642,91.43933395,84.77174871,93.03123636,180.4842367,212.3740954,202.7980525,114.0622126,101.8995736,105.6192808
ENSG00000159495,0,0,0,0,0,0,0,0,1.006196334,0,0,0
ENSG00000159496,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159516,63.13290913,58.70723946,64.47419161,183.044744,231.6505058,203.0921141,110.0448243,112.4183599,117.6224723,303.5596789,285.6065397,233.064043
ENSG00000159527,68.22057122,67.82327043,57.9441846,18.38249859,8.142327668,11.9975182,11.91816553,14.36877929,15.01574325,29.21513903,35.85299487,24.2128444
ENSG00000159556,0,0,0,0.66214251,0,0,0,0,0,0,0,0
