"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"6737",91.6607718996311,-1.17971294256552,0.188564733175985,9.51177539497582e-11,1.56096072964044e-09
"2946",60.8418419568913,-1.41781633355831,0.228427972974364,9.62964088338508e-11,1.57836202292535e-09
"9015",57.7333650551287,-1.5056658416699,0.243311127370498,9.68587701225297e-11,1.58563154720833e-09
"1443",159.136626991608,-1.41394527103281,0.227498857941441,1.01535819457968e-10,1.6601604205983e-09
"3369",68.3272824823017,-1.30541974634632,0.210011532019258,1.03719936490443e-10,1.69379607424173e-09
"12803",16.2339074726265,-4.3706121314915,0.701766156013943,1.05313288935241e-10,1.71771381537161e-09
"720",78.0807314579627,-1.21199409600124,0.194733811681663,1.11123005965631e-10,1.81026025102986e-09
"1255",113.489214636418,-1.12200635828344,0.179755315168904,1.15394734889894e-10,1.87755677183045e-09
"11598",306.766272334992,-1.08425820986144,0.173877786345472,1.28463460442837e-10,2.08510886767436e-09
"15658",171.177575036622,-1.60898348196076,0.262864611672054,1.32085559782442e-10,2.1412947006286e-09
"10895",19.9861760608525,-3.36564153112865,0.557115394712361,1.38808220062369e-10,2.24482336008742e-09
"6042",29.5266940509298,-2.29858003405094,0.380447235174757,1.43551639126512e-10,2.31872393368756e-09
"158",129.19385847038,-1.00763847774615,0.161998653899128,1.52796755008614e-10,2.46209457164847e-09
"15868",55.1662222104033,-2.15820486863986,0.355270793582812,1.58567512226195e-10,2.55199969616633e-09
"7348",108.600027637324,-1.0570870881659,0.170504024106474,1.60261041236906e-10,2.57304790876391e-09
"5886",113.511777082256,-1.02282899094732,0.165091611142846,1.7258386202698e-10,2.76756476822592e-09
"639",52.113605305679,-1.54368695297387,0.253626479233607,1.80788388752742e-10,2.88871698531627e-09
"14761",24.1740034566741,-3.1478304498223,0.521562414756357,1.89089529625447e-10,3.01413680318126e-09
"1186",49.8832619160769,-1.6491982936975,0.273442872546673,2.24039485403428e-10,3.55004134709327e-09
"11325",75.4822212392382,-1.23018400045021,0.201445567075571,2.25130060256603e-10,3.5630904673115e-09
"4969",78.2444171474039,-1.28925921006415,0.211446418351271,2.37904842370396e-10,3.75636261172287e-09
"10908",71.8944954950208,-1.25101099057013,0.205302264310209,2.4004810539141e-10,3.78572319400969e-09
"2704",124.800223012829,-1.00691296327833,0.163783188010084,2.43460378628394e-10,3.82392810003185e-09
"5674",29.0123995072517,-2.22723512236231,0.373311281563991,2.6472922237549e-10,4.14203550003759e-09
"7038",113.186662352659,-1.12890492356657,0.185000465773141,2.64970428164279e-10,4.14203550003759e-09
"7971",65.1497753346911,-1.31182694672625,0.216249378187498,2.65125042499783e-10,4.14203550003759e-09
"16138",26.4496291679631,-2.49260953344263,0.420256551152033,2.70247207333424e-10,4.2171207488217e-09
"150",38.2052837674251,-2.12523533452165,0.356414581666419,2.74078850644118e-10,4.27191591739932e-09
"11483",27.0505621541392,-2.27914601364445,0.382957794437387,2.84645844402782e-10,4.43144090550982e-09
"4396",32.6261678565796,-1.99865158670912,0.335428212715999,2.91949843489509e-10,4.53456904754019e-09
