"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11185",-1.14286153846154,-2.16310059171598,-5.17559201342522,0.000142496437129807,0.00268049973279415,0.647433382211868
"38874",-1.61546923076923,-2.5635650887574,-5.16776814935558,0.000144548548259246,0.00271625773556823,0.632764953241885
"2900",-1.19988365384615,-0.942979289940828,-5.16674785363968,0.000144818415417686,0.00271848529129679,0.630851528225702
"27248",-1.30389519230769,-2.11515680473373,-5.15778006069934,0.000147213034431695,0.00275623611990431,0.614028286922224
"1659",-1.62392115384615,3.71621301775148,-5.15669637722571,0.000147505178385874,0.0027602674761594,0.611994684945149
"2722",-1.19538461538462,-1.33914792899408,-5.14823010885192,0.000149808392657522,0.00279753936579632,0.596102350274029
"137",-1.10734230769231,-0.657073964497041,-5.14672258054399,0.000150222413701705,0.00280235778914256,0.593271616770285
"24389",-1.27696634615384,-4.57494378698225,-5.14629585030994,0.000150339824821975,0.00280309266529774,0.592470282674233
"38036",-1.18188365384615,-2.52678698224852,-5.14463252355599,0.000150798385694622,0.0028087274233396,0.589346602089091
"7539",-1.15259615384615,0.371905325443787,-5.14407471224508,0.000150952493349987,0.00281014100185061,0.588298974330645
"15642",-1.48208653846154,-1.94371597633136,-5.13889748459991,0.000152390648051962,0.00283251091249816,0.578573831784142
"8357",-1.15449134615385,-1.51798224852071,-5.13808717733219,0.000152617024234374,0.00283525184266641,0.577051424365007
"972",-1.03297115384615,1.70621301775148,-5.13737731355193,0.000152815626548546,0.00283747423579467,0.575717666203476
"28629",-1.45601826923077,-3.50585798816568,-5.13683785189665,0.000152966734122156,0.00283881290819986,0.574704035312836
"6382",-1.33666153846154,-5.30971597633136,-5.13504831707257,0.000153469109896596,0.00284492533321053,0.571341309683207
"35769",-1.21494230769231,-2.57984319526627,-5.1327387774837,0.00015412000139342,0.00284991123523632,0.567000877049792
"20925",-1.13847403846154,-2.97656213017751,-5.13074369210664,0.000154684579828181,0.00285887976782239,0.563250903506152
"3387",-1.51052211538462,-1.98014792899408,-5.12706178830873,0.000155732150499282,0.00287528285472185,0.556329135590544
"11137",-1.26023653846154,-1.37783136094675,-5.12439797543268,0.000156494648323714,0.00288639436325601,0.551320317358802
"8642",-1.31150961538462,-3.16237869822485,-5.12079302800286,0.00015753271997375,0.00290107283236127,0.544540526528662
"14566",-1.96527788461539,-6.33312130177515,-5.11976482695672,0.000157830107303472,0.00290287310932813,0.542606516343961
"38084",-1.26819038461538,-2.99031360946746,-5.11961717062934,0.000157872861911747,0.00290287310932813,0.542328769682544
