"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"9835",-6.91886755952381,-1.48859693877551,-15.4045025235897,1.43538053787031e-10,2.79449662628344e-08,14.6638665341747
"7998",-6.52527083333333,-1.611875,-15.3925465833269,1.45117180296776e-10,2.80980166636922e-08,14.652967189458
"10717",-6.46995238095238,-0.98193112244898,-15.3724610723759,1.47811771239456e-10,2.84642091865632e-08,14.6346376501515
"34089",-7.16317410714286,-0.892760204081632,-15.3537057410552,1.503759672547e-10,2.87262373005257e-08,14.6175003798889
"9795",-6.90210863095238,-1.43330612244898,-15.3506811219687,1.50793896590686e-10,2.87262373005257e-08,14.6147347430654
"15230",-5.53957738095238,-0.867502551020409,-15.319001012899,1.55246271451391e-10,2.94162627611611e-08,14.5857345006252
"40397",-6.50599107142857,-1.47063775510204,-15.2948957087086,1.58727620358437e-10,2.98018287126548e-08,14.5636281820676
"16136",-7.91521577380952,-2.77345663265306,-15.2932843833877,1.58963272279845e-10,2.98018287126548e-08,14.5621492408471
"2627",-7.59622619047619,-0.76715306122449,-15.2792606971347,1.61029970625003e-10,3.00303944692406e-08,14.5492711571828
"29640",-6.26093303571428,-1.57894387755102,-15.2458600677237,1.66068186734012e-10,3.08078223065249e-08,14.5185515539691
"23336",-6.17991071428571,-2.21494897959184,-15.2370810412783,1.67420058131057e-10,3.08968485404049e-08,14.5104660859948
"18841",-6.66208928571429,-1.81894387755102,-15.2291550233006,1.68650626363048e-10,3.09626820928594e-08,14.5031622534483
"19690",-5.447,-0.943267857142857,-15.2174532287618,1.7048501675453e-10,3.11381216425941e-08,14.4923721220374
"1726",-8.53404613095238,-0.695002551020408,-15.1844466827722,1.75774384058814e-10,3.19395576941332e-08,14.4618925262698
"17037",-6.75749404761905,-2.57216326530612,-15.17687429746,1.77012304702119e-10,3.20003928189296e-08,14.4548905881871
"26031",-7.67194791666667,-1.389375,-15.1064277520442,1.8898302206692e-10,3.38520185267096e-08,14.3895842135015
"27813",-8.06838988095238,-1.34300255102041,-15.1053911787743,1.89165457858169e-10,3.38520185267096e-08,14.3886210202742
"30528",-7.31208630952381,-0.923364795918367,-15.0902702844138,1.91848107994136e-10,3.41595678922424e-08,14.3745630947767
"38586",-7.13090922619048,-0.718186224489796,-15.0142435660308,2.05962943431691e-10,3.64894248730755e-08,14.3036688126847
"16145",-6.85434226190476,-1.84852295918367,-14.9910775676546,2.10480158583585e-10,3.71041963138914e-08,14.2819961071979
"18796",-8.09730654761905,-2.82782397959184,-14.9622941472383,2.16239925210604e-10,3.79308379702342e-08,14.2550219369163
"31426",-6.04856845238095,-1.00696173469388,-14.9491537217189,2.18924901174693e-10,3.82126405089798e-08,14.2426904452854
"15236",-5.77290476190476,-0.672058673469388,-14.9377677105836,2.21280056215652e-10,3.84343932935745e-08,14.2319967120999
"20632",-7.2542380952381,-0.722433673469388,-14.9181918109017,2.25392433985091e-10,3.89577078702133e-08,14.2135922327954
"23290",-6.27337797619048,-1.41027551020408,-14.9127974750179,2.26539861556014e-10,3.89659558957003e-08,14.2085165083807
"4435",-6.07017261904762,-1.38190816326531,-14.9017475403202,2.28909718740335e-10,3.91833722904651e-08,14.1981135750624
"15237",-7.09747321428571,-2.70575255102041,-14.8717712375389,2.35472351387568e-10,4.01129414745948e-08,14.1698541403369
"34100",-5.3565431547619,-1.14701275510204,-14.8605649464694,2.3797681368892e-10,4.03456097580837e-08,14.159275274635
"29586",-8.6729255952381,-1.51588010204082,-14.8449737842008,2.41508436331446e-10,4.07493734501529e-08,14.1445439738015
"30535",-5.42712053571429,-0.738551020408163,-14.8306653460875,2.44798541795382e-10,4.11087522816862e-08,14.1310112550375
"28740",-7.69835267857143,-1.52361224489796,-14.8183476411267,2.47669055496942e-10,4.1394611525581e-08,14.1193510566321
"43126",-6.58198958333333,-0.704035714285714,-14.7902599074637,2.54349252893567e-10,4.23115355764213e-08,14.0927269542487
"6215",-7.67776785714286,-1.92834948979592,-14.7739422075813,2.58317859927761e-10,4.2649868297826e-08,14.0772367434235
"32331",-5.2560431547619,-0.770602040816327,-14.7720168722465,2.58790440663579e-10,4.2649868297826e-08,14.0754079363589
"10732",-7.27459672619048,-1.69307908163265,-14.7459701015162,2.65274803792434e-10,4.35161209387839e-08,14.0506440302685
"24200",-6.73090476190476,-1.05498724489796,-14.7294057497113,2.69488166096404e-10,4.40035676925986e-08,14.034873184593
"16137",-8.74947172619048,-1.19622193877551,-14.7159824911179,2.72954710477382e-10,4.43651571391976e-08,14.0220802020498
"29600",-5.90616964285714,-1.35959693877551,-14.6814229855538,2.82099570785321e-10,4.56421648019922e-08,13.9890907306853
"31427",-6.02266369047619,0.208025510204082,-14.6465901788314,2.91646935755403e-10,4.69723903391873e-08,13.9557633753965
"32338",-5.26723511904762,-0.909872448979592,-14.6308412344209,2.96075764955414e-10,4.74699211749555e-08,13.9406696390409
"28689",-6.33835714285714,-1.39359693877551,-14.6222313196956,2.98527163655925e-10,4.76473558100018e-08,13.9324112107758
"25991",-7.17274255952381,-1.18772193877551,-14.5052454774451,3.34059803331697e-10,5.3079556105166e-08,13.8197284308734
"8032",-6.53329017857143,-0.782987244897959,-14.4790890474375,3.42603229677425e-10,5.41940189158938e-08,13.7944130147089
"21493",-7.20328720238095,-1.88656887755102,-14.4680750239967,3.46269911237905e-10,5.45305856217452e-08,13.7837398159319
"16993",-7.01326041666667,-1.59753571428571,-14.4024117667801,3.69013261689073e-10,5.76067861068843e-08,13.7199441822131
"35886",-5.50209375,-0.902678571428571,-14.4022941017411,3.69055412927574e-10,5.76067861068843e-08,13.7198296105996
"5286",-6.2476443452381,-0.402755102040817,-14.3554392123642,3.86253910604775e-10,6.00269070809605e-08,13.6741342442722
"32351",-7.69180952380952,-0.860831632653062,-14.3451167330951,3.9015613353502e-10,6.01481327442969e-08,13.6640477899437
"30533",-6.27901785714285,-2.52917091836735,-14.3443990490296,3.90428993627079e-10,6.01481327442969e-08,13.6633462545036
"14330",-4.13634523809524,-0.174227040816326,-14.3153632854958,4.01640069450858e-10,6.16074137699231e-08,13.6349352924373
"9788",-5.29088392857143,-0.372255102040817,-14.3000386615665,4.07694549958281e-10,6.22665559856542e-08,13.6199179412533
"5327",-6.96328720238095,-0.45706887755102,-14.2778927108105,4.16615923391294e-10,6.33560172254236e-08,13.5981885229052
"19714",-8.49122619047619,-2.24379591836735,-14.2526070986587,4.27056337544715e-10,6.44164477724784e-08,13.5733386418728
"7992",-6.64414136904762,-0.774372448979592,-14.2514318248388,4.27548318327138e-10,6.44164477724784e-08,13.5721825856429
"27803",-3.90341220238095,0.0144846938775508,-14.2478699608354,4.29043029783109e-10,6.44164477724784e-08,13.5686784015274
"21527",-5.67496577380952,-0.802867346938775,-14.2192559143188,4.4125407218662e-10,6.5970276539192e-08,13.5404970088665
"12538",-6.57183482142857,-1.53681632653061,-14.2039471333748,4.47938229557844e-10,6.66882154954752e-08,13.5253972325327
"34991",-5.35242261904762,-0.826497448979592,-14.1859447823545,4.55936353093096e-10,6.74283625489073e-08,13.5076205777193
"13432",-7.26809077380952,-1.50484948979592,-14.184208602772,4.56715689095977e-10,6.74283625489073e-08,13.5059050156212
"29589",-7.3972068452381,-0.622576530612244,-14.1446648757634,4.74854713866174e-10,6.98154650473865e-08,13.4667760306151
"16230",-1.85565327380952,0.312132653061224,-14.1238339576127,4.84716412217579e-10,7.0970895182254e-08,13.4461212408492
"24188",-6.20052678571429,-0.77206887755102,-14.0834434270992,5.04463233252841e-10,7.35582129376457e-08,13.405988654445
"10692",-7.2725744047619,-1.63892346938776,-14.0757387904028,5.08326130297598e-10,7.36352713354208e-08,13.398320668634
"34987",-7.30174107142857,-1.18288775510204,-14.0741075554576,5.09148011096382e-10,7.36352713354208e-08,13.3966966766585
"14290",-3.81070833333333,-0.0917142857142859,-14.0601860373426,5.1621992499126e-10,7.43545552935583e-08,13.3828296189048
"825",-6.90208779761905,-0.333216836734694,-14.051266716908,5.2080558854018e-10,7.47113539220413e-08,13.3739382653457
"41427",-1.8918005952381,-0.770344387755102,-14.0347627700025,5.29405214695282e-10,7.56387700495884e-08,13.3574717846598
"28685",-5.17761607142857,-0.336119897959184,-14.0258404187702,5.34117042603113e-10,7.59439494219787e-08,13.3485619566686
"787",-6.84380654761905,-0.54855612244898,-14.0226215407683,5.35827825910724e-10,7.59439494219787e-08,13.345346263345
"29629",-7.74615476190476,-0.816183673469387,-14.004310866333,5.45671047609425e-10,7.70309252189035e-08,13.3270402414657
"39486",-6.87997321428571,-1.07700255102041,-13.9841466009646,5.56733339149591e-10,7.82806841511408e-08,13.3068545644538
"35955",-8.0870625,-1.43485714285714,-13.9550940211114,5.73092650309815e-10,8.0262418491809e-08,13.2777221119778
"19697",-6.42121279761905,-2.36516326530612,-13.9364092268554,5.83883176806257e-10,8.14517031644728e-08,13.2589552943743
"12492",-6.59295089285714,-0.845900510204082,-13.9188605357532,5.94214273989177e-10,8.25678210598373e-08,13.2413076642056
"35031",-5.47785863095238,-0.711538265306123,-13.8292577063316,6.50078485260381e-10,8.97552840293028e-08,13.1508674480263
"1736",-7.21761458333333,-1.61371428571429,-13.826860071064,6.51647872558127e-10,8.97552840293028e-08,13.148439743358
"4385",-6.00053720238095,-0.953426020408163,-13.822073986962,6.54792680828232e-10,8.97552840293028e-08,13.1435924372578
"2632",-6.1483125,-0.559250000000001,-13.82013314417,6.56072547161951e-10,8.97552840293028e-08,13.141626312628
"2587",-7.9593244047619,-0.767298469387755,-13.7942049518189,6.7342780063749e-10,9.17752586922623e-08,13.1153351499929
"35915",-8.34170089285714,-1.46609693877551,-13.7858186639032,6.79145076192508e-10,9.21997987920656e-08,13.1068214035488
"13392",-6.91064732142857,-1.46022704081633,-13.7468644942186,7.06385872966584e-10,9.55319489955152e-08,13.0672105658913
"7132",-5.90876488095238,-0.744091836734693,-13.7283095262716,7.19767306079733e-10,9.69715397578829e-08,13.0483053255893
"26928",-4.3610431547619,0.328808673469388,-13.7140470459107,7.30236015188607e-10,9.80092906294618e-08,13.0337571210742
"16140",-5.04497470238095,-1.32312244897959,-13.6917513153318,7.46926435198059e-10,9.98711108617842e-08,13.0109859726656
"35935",-5.5002619047619,-1.53808418367347,-13.6804995658982,7.55502805506746e-10,1.00638086118498e-07,12.9994809570421
"25990",-5.96620238095238,-1.24916326530612,-13.6569716338553,7.73776220677902e-10,1.02686190364345e-07,12.9753944507805
"13385",-5.99886904761905,-0.514163265306123,-13.6227370997824,8.01208236250541e-10,1.05929893414423e-07,12.940276945714
"14288",-5.71616071428572,-0.662181122448979,-13.5947449832856,8.24405562916194e-10,1.08591681452823e-07,12.9115008247121
"2592",-6.71107142857143,-0.800201530612245,-13.5576117221441,8.56284785185075e-10,1.12373106642455e-07,12.8732410969161
"1685",-6.76637202380952,-1.31420663265306,-13.5373007300358,8.74273534822136e-10,1.14310458152593e-07,12.8522721244315
"38633",-6.17477232142857,-1.9716556122449,-13.5206408308612,8.89328191301975e-10,1.15815907708476e-07,12.8350503818057
"12491",-5.68770238095238,-0.899520408163265,-13.5173605089227,8.92324748240731e-10,1.15815907708476e-07,12.8316570785547
"827",-7.66742857142857,-0.320316326530612,-13.5040150722898,9.0462672902095e-10,1.16984083537954e-07,12.817843999416
