"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17532",-1.64593601190476,-3.51351275510204,-5.41822177194881,7.24759878431166e-05,0.00128018029772939,1.23685536403118
"31343",-1.03766220238095,-1.63737755102041,-5.41662042627387,7.26943356931017e-05,0.00128339223680163,1.23377150749883
"173",-1.06877380952381,-1.72776020408163,-5.41353182778043,7.3117403815135e-05,0.00128893978576203,1.22782263499137
"39435",-1.48977678571429,-3.21084183673469,-5.41261064715795,7.32440785382455e-05,0.00129053079803364,1.22604814809132
"37942",-1.18636160714286,-1.78432908163265,-5.41119011939186,7.34398665450157e-05,0.00129206903265225,1.22331155822371
"2848",-1.64687053571429,-0.0977168367346938,-5.40641420574549,7.41021093022893e-05,0.00130111993999406,1.21410915998084
"3398",-2.19740327380953,-2.47000765306122,-5.40011995247919,7.4984362645057e-05,0.00131530738693183,1.2019769572595
"211",-1.39341517857143,-4.23679846938776,-5.39949124594176,7.50730836171763e-05,0.00131621205928125,1.20076485946937
"739",-1.24525446428571,1.51264540816327,-5.39800696413463,7.52829726846134e-05,0.00131923915486346,1.19790308908105
"28042",-1.48544940476191,-3.15243367346939,-5.39755625271006,7.53468271897271e-05,0.0013197054512178,1.19703404201518
"659",-1.11339136904762,-1.29602040816327,-5.39521651504223,7.5679213124772e-05,0.00132225915120811,1.19252224219921
"17566",-1.55306547619048,-4.68986734693878,-5.39467620862736,7.57561855918022e-05,0.00132295166292475,1.19148025614544
"41043",-1.02508630952381,-1.71108163265306,-5.39410588519867,7.58375223881179e-05,0.0013230679127416,1.19038034379587
"11084",-1.09244494047619,-0.262579081632653,-5.39134654483819,7.6232327244561e-05,0.00132864734444492,1.18505819098767
"31737",-1.90174553571429,-3.37777040816327,-5.38559225959747,7.70625190495897e-05,0.00134047925256952,1.17395650566005
"3174",-1.00338541666667,-0.106035714285714,-5.38259707729591,7.74983494651702e-05,0.00134607794931342,1.16817635317885
"15566",-1.71814732142857,1.81735204081633,-5.38226726828625,7.75464960946965e-05,0.00134625428521479,1.16753981634329
"36699",-1.12718452380952,0.939063775510204,-5.38141252039566,7.76714194725081e-05,0.00134776268666473,1.16589007793951
"39958",-1.28082738095238,-3.49787244897959,-5.37610443478578,7.84518943539257e-05,0.00135850482119567,1.1556430419643
"782",-1.24751190476191,-2.5747193877551,-5.37389604409498,7.87789964352581e-05,0.00136231145958541,1.15137884021676
"32040",-1.54147023809524,-2.6044693877551,-5.36954369600647,7.94278030682349e-05,0.00137182409646838,1.14297313930996
"40172",-1.20867261904762,-3.67723469387755,-5.36942726111279,7.94452359651485e-05,0.00137182409646838,1.1427482371226
"25898",-1.53300446428571,-0.606426020408163,-5.36876539125471,7.95444080182438e-05,0.00137286751549461,1.14146975807789
"18698",-1.02420833333333,0.146071428571429,-5.36012374901905,8.08510801690593e-05,0.0013920293117737,1.12477260364582
"733",-1.74345238095238,3.90277040816327,-5.35944998360293,8.09538884933689e-05,0.00139312245312557,1.1234703964895
"3330",-1.21248660714286,1.48377806122449,-5.35742237906196,8.12640943891688e-05,0.00139642611857004,1.11955125561621
"2967",-1.4050193452381,-1.76922704081633,-5.35687444941198,8.13481341768137e-05,0.0013971926506481,1.11849208243444
"28366",-1.36521428571429,-3.85484183673469,-5.35534336829619,8.15834446950404e-05,0.0013991995139784,1.11553224230191
"30217",-1.15903869047619,0.923367346938776,-5.35379713402011,8.18218002723976e-05,0.0014012527061633,1.11254282459943
"7667",-1.07009970238095,-0.996323979591837,-5.35112912841026,8.22347783510773e-05,0.0014076448798617,1.10738395560596
"41260",-1.42045238095238,-3.06510459183673,-5.34939982262808,8.25036095407017e-05,0.00141088339616587,1.10403970802212
"42431",-1.26524702380952,-2.66402551020408,-5.34765411605888,8.27759144054078e-05,0.00141417501211515,1.10066338210233
"729",-1.07994642857143,1.12170153061225,-5.34245742597173,8.35920502856852e-05,0.00142468355833222,1.09061045070778
"3710",-1.29978869047619,2.34397448979592,-5.34042453754483,8.39135791861976e-05,0.00142940945844158,1.08667697959894
"8233",-1.29909226190476,-3.21097704081633,-5.34019464319381,8.3950020687408e-05,0.00142940945844158,1.08623212211082
"1546",-1.07862648809524,1.71742346938776,-5.33672723906712,8.45016469348576e-05,0.00143604165747857,1.07952175383358
"7862",-1.1848630952381,-1.30679846938776,-5.3360014581896,8.46175854688926e-05,0.00143663387921383,1.07811699010693
"24166",-1.02698958333333,-4.01844642857143,-5.3328267954505,8.51266571605757e-05,0.00144320231730654,1.07197163075352
