,log2FoldChange,AveExpr,t,P.Value,padj,B
30608,-0.514615079,-0.692643382,-1.787989332,0.08238975,0.162034822,-6.067996643
20608,0.816802778,3.149729167,1.787947508,0.08239662,0.162040856,-6.068066969
20368,-0.383909821,-0.934932598,-1.787842338,0.082413897,0.162067356,-6.068243805
34210,0.231053968,-0.14342402,1.787806289,0.08241982,0.162071526,-6.068304416
23186,-0.234023016,-1.025247141,-1.787732187,0.082431996,0.162087991,-6.068429005
4021,-0.273130556,0.779748366,-1.787673935,0.082441569,0.162094608,-6.068526943
34428,-0.342701389,-0.566966503,-1.78766543,0.082442966,0.162094608,-6.068541243
18639,0.281810218,-0.776586193,1.787588156,0.082455667,0.162112101,-6.068671157
15404,0.381073115,0.229633987,1.787471137,0.082474902,0.162134979,-6.068867881
14104,-0.281499901,1.353315359,-1.787471083,0.082474911,0.162134979,-6.068867973
20491,0.230272917,-0.855864379,1.787423951,0.08248266,0.162142734,-6.068947204
5591,0.250712798,0.27759232,1.787355682,0.082493885,0.162157321,-6.069061967
31338,-0.23199881,-0.843949755,-1.787323788,0.082499129,0.162160152,-6.069115581
2290,-0.199128075,-0.229470997,-1.787207178,0.082518306,0.162184884,-6.069311594
23055,-0.727752778,2.333464869,-1.787188305,0.082521411,0.162184884,-6.069343317
19682,-0.227208433,-0.472033497,-1.787127719,0.082531376,0.162184884,-6.069445153
18764,0.210290079,0.294053922,1.787117431,0.082533068,0.162184884,-6.069462445
17312,-0.306275298,-1.213172386,-1.78711704,0.082533133,0.162184884,-6.069463102
7862,-0.371964583,1.600830474,-1.787108474,0.082534542,0.162184884,-6.069477501
10525,-0.315779167,-0.627143382,-1.787082636,0.082538792,0.162185759,-6.069520928
4243,-0.56439504,-1.70815768,-1.786993751,0.082553415,0.162207015,-6.069670323
13631,-0.201993353,0.621263072,-1.786799732,0.082585342,0.162262268,-6.069996399
24915,-0.361516667,0.108087418,-1.786760897,0.082591734,0.162267347,-6.070061663
36981,-0.715441667,0.662375817,-1.786570507,0.082623076,0.162321442,-6.070381606
14137,-0.25967996,0.047122958,-1.786383656,0.082653846,0.162374408,-6.070695576
25303,0.198631548,-0.407556373,1.78600604,0.082716059,0.162489137,-6.071330005
626,-0.399976488,2.714747549,-1.785952693,0.082724851,0.162498919,-6.071419624
18300,-0.24016131,0.60767116,-1.785852901,0.0827413,0.162523741,-6.07158726
13251,-0.246411012,0.531535948,-1.785664796,0.082772313,0.162577166,-6.071903231
995,-0.327370139,-0.032533497,-1.785438212,0.082809684,0.162639236,-6.072283798
33728,-0.342848115,-0.965584559,-1.785426925,0.082811546,0.162639236,-6.072302755
32402,0.326774802,0.066200163,1.785331005,0.082827371,0.162656799,-6.072463847
10395,-0.252062798,0.704583742,-1.785326458,0.082828121,0.162656799,-6.072471484
24636,-0.41920496,-0.829441585,-1.78503589,0.082876074,0.162743471,-6.072959435
21424,-0.344915179,0.365764297,-1.784982514,0.082884885,0.162753276,-6.07304906
13015,0.303261409,-0.31285335,1.784908266,0.082897144,0.162769848,-6.073173732
20042,-0.178477083,-0.098499592,-1.784803264,0.082914482,0.162796393,-6.073350035
3730,0.505413988,-0.14805433,1.784717256,0.082928686,0.162816782,-6.07349444
