,log2FoldChange,AveExpr,t,P.Value,padj,B
9307,-1.141648438,1.383450521,-4.973797689,0.000250258,0.001782285,-0.042947565
519,-1.098425781,0.657416667,-4.973221286,0.000250514,0.001783814,-0.044004937
23250,-0.81978125,-1.404283854,-4.972908069,0.000250653,0.001784509,-0.044579529
40160,-1.149144531,1.970924479,-4.972551443,0.000250812,0.001785342,-0.045233769
40008,-1.260664063,2.230247396,-4.971262493,0.000251388,0.001789137,-0.047598506
18465,-0.881476563,-0.490106771,-4.971166621,0.00025143,0.001789143,-0.047774403
23525,-0.651660156,0.095518229,-4.970851954,0.000251571,0.001789845,-0.048351731
35184,-1.446277344,-2.663721354,-4.970205443,0.00025186,0.001791344,-0.049537942
21474,-2.060792969,-1.431872396,-4.970193295,0.000251866,0.001791344,-0.04956023
4588,-1.026898438,-0.871486979,-4.969510346,0.000252172,0.00179322,-0.05081335
14025,-1.042632813,-0.513786458,-4.969207127,0.000252308,0.001793888,-0.051369735
6857,-1.684644531,-1.588122396,-4.969081475,0.000252364,0.001793989,-0.051600299
35239,-1.134308594,0.413440104,-4.968966719,0.000252415,0.001794056,-0.051810873
23107,-1.045046875,-2.268036458,-4.967273433,0.000253176,0.001799164,-0.05491817
14034,-1.462035156,1.754502604,-4.967039267,0.000253282,0.001799613,-0.055347907
26258,-1.806191406,2.518432292,-4.966531081,0.000253511,0.00180094,-0.056280544
1141,-1.116183594,1.377395833,-4.96625666,0.000253634,0.001801518,-0.056784183
26617,-0.894140625,-0.422226563,-4.965114403,0.00025415,0.00180463,-0.058880632
7687,-1.148511719,1.779533854,-4.965098688,0.000254157,0.00180463,-0.058909475
6325,-1.165894531,-0.862432292,-4.964711729,0.000254332,0.001805571,-0.059619718
13484,-1.21146875,0.603583333,-4.964610444,0.000254378,0.001805595,-0.059805626
42326,-1.842550781,2.19659375,-4.964191525,0.000254567,0.00180664,-0.060574554
8200,-1.03246875,1.215953125,-4.963443587,0.000254906,0.001808743,-0.061947453
24566,-1.42228125,2.1235625,-4.962809501,0.000255194,0.001810442,-0.063111418
35081,-1.798449219,1.140794271,-4.962728542,0.00025523,0.001810442,-0.063260033
13897,-1.275207031,-1.651494792,-4.962489111,0.000255339,0.00181077,-0.063699562
21408,-1.735871094,-0.837299479,-4.962439298,0.000255362,0.00181077,-0.063791006
5184,-0.827109375,1.61246875,-4.962306982,0.000255422,0.001810895,-0.064033904
31180,-0.778074219,-1.397510417,-4.961673974,0.00025571,0.001812378,-0.065195975
25098,4.188902344,-0.162492188,4.961659759,0.000255716,0.001812378,-0.065222071
5122,-1.452882813,1.644666667,-4.961359784,0.000255853,0.001813044,-0.06577278
15445,1.497527344,-0.415382813,4.960624121,0.000256187,0.001815116,-0.067123392
3400,-0.828152344,-0.102554688,-4.959972746,0.000256484,0.001816918,-0.068319311
6698,-1.138871094,0.386716146,-4.959421824,0.000256736,0.001818397,-0.069330838
42583,-1.43834375,2.201458333,-4.959235602,0.000256821,0.001818697,-0.06967276
21781,1.43153125,-0.766971354,4.957819334,0.000257469,0.001822982,-0.072273311
36467,-1.748457031,2.521333333,-4.957705504,0.000257521,0.001823048,-0.072482336
16888,1.332527344,-0.373820313,4.957268246,0.000257721,0.001824164,-0.073285282
15659,-1.464933594,1.535075521,-4.957058601,0.000257818,0.001824542,-0.073670266
22071,-1.829429688,2.551885417,-4.956349066,0.000258143,0.001826543,-0.074973267
33327,1.552558594,-0.48196875,4.956200216,0.000258212,0.001826723,-0.075246624
16992,3.261957031,0.341947917,4.955921238,0.00025834,0.00182706,-0.075758965
1520,-0.646164063,-0.453059896,-4.955909991,0.000258345,0.00182706,-0.075779619
16603,1.335128906,-0.203546875,4.955772641,0.000258408,0.001827204,-0.076031864
31502,0.910246094,-1.042276042,4.955526955,0.000258521,0.0018277,-0.076483077
10958,-0.959535156,0.684486979,-4.954992901,0.000258767,0.001829134,-0.077463911
34211,-1.064855469,-0.717721354,-4.954642087,0.000258928,0.001829972,-0.078108229
13263,-0.945382813,-0.101674479,-4.953649882,0.000259386,0.001832116,-0.079930625
31770,-1.044308594,-1.354567708,-4.953646398,0.000259388,0.001832116,-0.079937024
12124,-0.755476563,-0.486903646,-4.953538901,0.000259437,0.001832116,-0.080134474
20337,-1.726242188,-1.638242188,-4.953470453,0.000259469,0.001832116,-0.080260198
17218,-1.296402344,1.445666667,-4.953321185,0.000259538,0.001832116,-0.080534374
14144,-0.758515625,-0.016127604,-4.953299814,0.000259548,0.001832116,-0.080573628
3445,-1.989273438,-1.438567708,-4.953264092,0.000259564,0.001832116,-0.080639243
38308,-1.126335938,-1.364914063,-4.953239223,0.000259576,0.001832116,-0.080684922
21053,-1.587105469,-1.26509375,-4.952640685,0.000259852,0.001833765,-0.081784351
29537,-1.59203125,2.121963542,-4.952470228,0.000259931,0.00183401,-0.082097465
30176,1.324179688,-0.597755208,4.952304124,0.000260008,0.00183401,-0.082402584
37866,1.286039063,-0.385929688,4.95228651,0.000260016,0.00183401,-0.082434938
4117,-1.507421875,1.794338542,-4.951373667,0.000260439,0.001836439,-0.08411182
2564,-1.89271875,-3.563671875,-4.951356957,0.000260447,0.001836439,-0.084142517
24216,5.122777344,-1.589794271,4.951238932,0.000260501,0.001836512,-0.084359334
38797,-0.916195312,1.57290625,-4.951112489,0.00026056,0.001836512,-0.084591618
35691,-1.254289063,-2.342861979,-4.951056005,0.000260586,0.001836512,-0.084695382
30574,-2.64496875,-0.376703125,-4.950593073,0.000260801,0.001837722,-0.085545836
36696,1.472023438,0.670729167,4.950389752,0.000260895,0.001838083,-0.085919367
9683,-1.205335938,-0.970802083,-4.949949137,0.0002611,0.001839221,-0.086728856
33050,-0.97884375,0.305664063,-4.949741949,0.000261196,0.001839596,-0.087109506
23769,-0.996464844,-2.549541667,-4.948871013,0.000261602,0.001842145,-0.088709662
